review_text,rating
as,usual
as usual,with
as usual with,friendly
as usual with friendly,service
as usual with friendly service,always
as usual with friendly service always,head
as usual with friendly service always head,here
as usual with friendly service always head here,after
pub,","
"pub ,",where
"pub , where",you
"pub , where you",can
"pub , where you can",be
"pub , where you can be",serve
"pub , where you can be serve",quickly
"pub , where you can be serve quickly",.
my,favourite
my favourite,restaurant
my favourite restaurant,in
my favourite restaurant in,tooting
my favourite restaurant in tooting,.
my favourite restaurant in tooting .,food
my favourite restaurant in tooting . food,","
"my favourite restaurant in tooting . food ,",good
a,while
a while,now
a while now,’
a while now ’,ve
a while now ’ ve,been
a while now ’ ve been,dreaming
a while now ’ ve been dreaming,of
a while now ’ ve been dreaming of,that
's,close
's close,to
's close to,and
's close to and,its
's close to and its,tucked
's close to and its tucked,away
's close to and its tucked away,in
's close to and its tucked away in,one
",",you
", you",have
", you have",to
", you have to",wait
", you have to wait",a
", you have to wait a",while
", you have to wait a while",to
", you have to wait a while to",get
party,for
party for,a
party for a,friend
party for a friend,.
party for a friend .,were
party for a friend . were,shoved
party for a friend . were shoved,into
party for a friend . were shoved into,a
and,somehow
and somehow,joyless
and somehow joyless,interior
and somehow joyless interior,provides
and somehow joyless interior provides,a
and somehow joyless interior provides a,setting
and somehow joyless interior provides a setting,for
and somehow joyless interior provides a setting for,which
the,look
the look,","
"the look ,",very
"the look , very",slick
"the look , very slick",and
"the look , very slick and",clean
"the look , very slick and clean",and
"the look , very slick and clean and",bright
enjoy,a
enjoy a,visit
enjoy a visit,to
enjoy a visit to,.
enjoy a visit to .,good
enjoy a visit to . good,quality
enjoy a visit to . good quality,burgers
enjoy a visit to . good quality burgers,cooked
a,really
a really,lovely
a really lovely,meal
a really lovely meal,with
a really lovely meal with,the
a really lovely meal with the,family
a really lovely meal with the family,here
a really lovely meal with the family here,.
ended,up
ended up,at
ended up at,for
ended up at for,breakfast
ended up at for breakfast,.
ended up at for breakfast .,menu
ended up at for breakfast . menu,is
ended up at for breakfast . menu is,offering
for,dinner
for dinner,with
for dinner with,my
for dinner with my,partner
for dinner with my partner,as
for dinner with my partner as,been
for dinner with my partner as been,recommended
for dinner with my partner as been recommended,to
went,to
went to,their
went to their,covent
went to their covent,garden
went to their covent garden,branch
went to their covent garden branch,.
went to their covent garden branch .,were
went to their covent garden branch . were,on
really,a
really a,burger
really a burger,man
really a burger man,","
"really a burger man ,",but
"really a burger man , but",was
"really a burger man , but was",enticed
"really a burger man , but was enticed",to
here,for
here for,couple
here for couple,of
here for couple of,times
here for couple of times,","
"here for couple of times ,",mostly
"here for couple of times , mostly",for
"here for couple of times , mostly for",breakfast
and,friendly
and friendly,","
"and friendly ,",helpful
"and friendly , helpful",food
"and friendly , helpful food",was
"and friendly , helpful food was",ok
"and friendly , helpful food was ok",","
"and friendly , helpful food was ok ,",not
is,a
is a,really
is a really,interesting
is a really interesting,place
is a really interesting place,.
is a really interesting place .,is
is a really interesting place . is,a
is a really interesting place . is a,sort
have,eaten
have eaten,here
have eaten here,five
have eaten here five,or
have eaten here five or,six
have eaten here five or six,times
have eaten here five or six times,and
have eaten here five or six times and,each
the,prices
the prices,they
the prices they,charge
the prices they charge,would
the prices they charge would,like
the prices they charge would like,more
the prices they charge would like more,than
the prices they charge would like more than,a
you,'re
you 're,a
you 're a,noodle
you 're a noodle,lover
you 're a noodle lover,","
"you 're a noodle lover ,",you
"you 're a noodle lover , you",have
"you 're a noodle lover , you have",to
stopped,by
stopped by,the
stopped by the,with
stopped by the with,so
stopped by the with so,e
stopped by the with so e,frie
stopped by the with so e frie,ds
stopped by the with so e frie ds,","
love,and
love and,was
love and was,disappointed
love and was disappointed,to
love and was disappointed to,find
love and was disappointed to find,that
love and was disappointed to find that,theirs
love and was disappointed to find that theirs,was
met,on
met on,the
met on the,rooftop
met on the rooftop,for
met on the rooftop for,a
met on the rooftop for a,leisurely
met on the rooftop for a leisurely,breakfast
met on the rooftop for a leisurely breakfast,and
is,truly
is truly,a
is truly a,diamond
is truly a diamond,in
is truly a diamond in,the
is truly a diamond in the,rough
is truly a diamond in the rough,.
is truly a diamond in the rough .,best
was,for
was for,a
was for a,work
was for a work,lunch
